arm,setpoint_c,gain,plane,rung,rung_pct_planned,pct_of_tsat,exptime_s,pedestal,signal,var_pair,var_pair_spread,var_single,sat_frac,R_counts,ccd_temp,n_frames,usable
a1,-10.0,200,G1,5,4.0,3.999998677361288,0.475471,69.21829263787521,159.1630092420076,174.83995451615246,0.2386340383451966,178.34526199035258,0.0,1.08311373689622,-10.25,4,True
a1,-10.0,200,G2,5,4.0,3.999998677361288,0.475471,69.19800407008121,159.1017186014276,175.46093186337419,0.05631825810260693,178.5177786965662,0.0,1.0787826382952181,-10.25,4,True
a1,-10.0,200,B,5,4.0,3.999998677361288,0.475471,69.20189044350072,158.54196789390164,172.6435555957467,0.07006902154788008,176.33343735364326,0.0,1.0796959233259493,-10.25,4,True
a1,-10.0,200,R,6,6.8,6.8000002753265845,0.808301,69.22284959491931,252.91394926372328,274.5705811606812,0.5934852865845528,280.7792566561687,0.0,1.0808587170192034,-10.5,4,True
a1,-10.0,200,G1,6,6.8,6.8000002753265845,0.808301,69.21829263787521,271.7887235440706,297.7291980317916,1.1190328457923329,305.20430654983625,0.0,1.08311373689622,-10.5,4,True
a1,-10.0,200,G2,6,6.8,6.8000002753265845,0.808301,69.19800407008121,271.67379539891294,297.9421797721701,0.2362076264167854,305.4836903422477,0.0,1.0787826382952181,-10.5,4,True
a1,-10.0,200,B,6,6.8,6.8000002753265845,0.808301,69.20189044350072,270.73969891196805,293.2950658719237,0.5888390947458788,301.27754195356766,0.0,1.0796959233259493,-10.5,4,True
a1,-10.0,200,R,7,11.4,11.400001698739858,1.355093,69.22284959491931,437.45785738292494,473.9677885332597,4.5238040679482765,489.69677688727285,0.0,1.0808587170192034,-10.25,4,True
a1,-10.0,200,G1,7,11.4,11.400001698739858,1.355093,69.21829263787521,469.87527521033036,512.7518921822015,5.307944183182826,532.5348986161583,0.0,1.08311373689622,-10.25,4,True
a1,-10.0,200,G2,7,11.4,11.400001698739858,1.355093,69.19800407008121,469.67683666630796,509.5594232865582,4.9072650690737305,530.2211447659724,0.0,1.0787826382952181,-10.25,4,True
a1,-10.0,200,B,7,11.4,11.400001698739858,1.355093,69.20189044350072,468.06623222953397,505.95088451971856,3.5116480612773557,526.0757281925027,0.0,1.0796959233259493,-10.25,4,True
a1,-10.0,200,R,8,19.2,19.20000374658376,2.282262,69.22284959491931,732.7136652595118,793.0985206672536,6.868062790933664,834.4245532561958,0.0,1.0808587170192034,-10.0,4,True
a1,-10.0,200,G1,8,19.2,19.20000374658376,2.282262,69.21829263787521,786.8902507581208,857.5422485738047,5.525832503682409,911.0913945303913,0.0,1.08311373689622,-10.0,4,True
a1,-10.0,200,G2,8,19.2,19.20000374658376,2.282262,69.19800407008121,786.5524393884759,859.0793476323198,3.9643120162961623,907.9943088875641,0.0,1.0787826382952181,-10.0,4,True
a1,-10.0,200,B,8,19.2,19.20000374658376,2.282262,69.20189044350072,783.7241645110281,849.7099940962572,8.662342791761148,898.7921906727902,0.0,1.0796959233259493,-10.0,4,True
a1,-10.0,200,R,9,32.0,31.999997831598286,3.803769,69.22284959491931,1212.4026892310694,1307.8038411379948,0.9115865167614174,1413.236705142162,0.0,1.0808587170192034,-10.0,4,True
a1,-10.0,200,G1,9,32.0,31.999997831598286,3.803769,69.21829263787521,1301.6252694882844,1408.7277283635394,5.272241499463689,1545.2832631263661,0.0,1.08311373689622,-10.0,4,True
a1,-10.0,200,G2,9,32.0,31.999997831598286,3.803769,69.19800407008121,1301.0875574915033,1416.0310941578923,5.66934317319533,1542.7130408698013,0.0,1.0787826382952181,-10.0,4,True
a1,-10.0,200,B,9,32.0,31.999997831598286,3.803769,69.20189044350072,1296.3392529738576,1398.2882130162152,1.6348630310608314,1524.0994535833984,0.0,1.0796959233259493,-10.0,4,True
a1,-10.0,200,R,10,54.0,54.00000317614734,6.418861,69.22284959491931,2036.741573584707,2182.2393883010363,9.60544240201989,2476.755421935116,0.0,1.0808587170192034,-10.0,4,True
a1,-10.0,200,G1,10,54.0,54.00000317614734,6.418861,69.21829263787521,2185.8595958508945,2359.522096978451,27.965437815812038,2720.5218873953368,0.0,1.08311373689622,-10.0,4,True
a1,-10.0,200,G2,10,54.0,54.00000317614734,6.418861,69.19800407008121,2185.0390078394034,2367.7506005762143,3.2745576062316104,2717.41509717665,0.0,1.0787826382952181,-10.0,4,True
a1,-10.0,200,B,10,54.0,54.00000317614734,6.418861,69.20189044350072,2177.0671172392995,2343.09822351831,13.669448911889504,2688.8360255208727,0.0,1.0796959233259493,-10.0,4,True
a1,-10.0,200,R,11,90.0,89.99999968510691,10.698101,69.22284959491931,3383.507476103933,3593.306260276292,12.872128035395235,4397.544859640434,0.0,1.0808587170192034,-10.0,4,True
a1,-10.0,200,G1,11,90.0,89.99999968510691,10.698101,69.21829263787521,3629.288378313968,3853.520867182712,3.4732152573419626,4835.801338866527,0.0,1.08311373689622,-10.0,4,True
a1,-10.0,200,G2,11,90.0,89.99999968510691,10.698101,69.19800407008121,3627.821820911608,3871.910009715227,4.255364337037008,4822.079155504408,0.0,1.0787826382952181,-10.0,4,True
a1,-10.0,200,B,11,90.0,89.99999968510691,10.698101,69.20189044350072,3614.3651404631764,3816.12590794457,0.6769043107328798,4771.734209083723,0.0,1.0796959233259493,-10.0,4,True
a2,-20.0,50,R,0,0.3,0.2999995563295495,0.109352,64.84630727767944,10.656997203826904,2.8107508978025484,0.002757274375514651,2.8563565444343837,0.0,0.9002758203935268,-20.0,4,True
a2,-20.0,50,G1,0,0.3,0.2999995563295495,0.109352,64.84258794784546,11.717682361602783,3.0420606754044086,0.0034950580187214086,3.0773135547975037,0.0,0.9013812415672586,-20.0,4,True
a2,-20.0,50,G2,0,0.3,0.2999995563295495,0.109352,64.86362767219543,11.709641218185425,3.0231852438209543,0.002385568650242753,3.06576967237379,0.0,0.9003995485339394,-20.0,4,True
a2,-20.0,50,B,0,0.3,0.2999995563295495,0.109352,64.86742949485779,11.770154237747192,3.023311198421882,0.006460813749633143,3.0715471693898317,0.0,0.9000477124741895,-20.0,4,True
a2,-20.0,50,R,1,0.5,0.5000010895025763,0.182254,64.84630727767944,18.013278484344482,4.16122474471703,0.041578788763290575,4.226561748438005,0.0,0.9002758203935268,-20.0,4,True
a2,-20.0,50,G1,1,0.5,0.5000010895025763,0.182254,64.84258794784546,19.786940097808838,4.5107128314820075,0.008403181430820084,4.584378607234184,0.0,0.9013812415672586,-20.0,4,True
a2,-20.0,50,G2,1,0.5,0.5000010895025763,0.182254,64.86362767219543,19.78388476371765,4.519771689040203,0.0027126317014349866,4.5933653134802706,0.0,0.9003995485339394,-20.0,4,True
a2,-20.0,50,B,1,0.5,0.5000010895025763,0.182254,64.86742949485779,19.87955403327942,4.520469477657763,0.009997862469457885,4.586556350811996,0.0,0.9000477124741895,-20.0,4,True
a2,-20.0,50,R,2,0.85,0.8499996574103872,0.309831,64.84630727767944,30.87646245956421,6.534245878153909,0.02543896729436046,6.661606237835886,0.0,0.9002758203935268,-20.0,4,True
a2,-20.0,50,G1,2,0.85,0.8499996574103872,0.309831,64.84258794784546,33.8962197303772,7.124188743049073,0.005259418434070184,7.262316217240331,0.0,0.9013812415672586,-20.0,4,True
a2,-20.0,50,G2,2,0.85,0.8499996574103872,0.309831,64.86362767219543,33.888304471969604,7.113446034122857,0.014332915034722227,7.2720486766546415,0.0,0.9003995485339394,-20.0,4,True
a2,-20.0,50,B,2,0.85,0.8499996574103872,0.309831,64.86742949485779,34.05763649940491,7.116460284747371,0.0478854503436521,7.263532125774736,0.0,0.9000477124741895,-20.0,4,True
