gain,offset,pedestal,n_pairs,R_sd,R_mad,R_err,plane_spread,R_at_offset,spatial_sd,fpn_ratio,sigmas_above_zero,zero_frac,zero_frac_gaussian
300,40,190.67409629821776,10.0,2.8978793148270485,2.096712990350254,0.0014050594675847881,0.014386877315411883,2.898937217583412,2.938084053993225,1.0135038579560707,65.77379294097508,0.0,0.0
300,45,210.30428047180175,10.0,2.8978793148270485,2.096712990350254,0.0014050594675847881,0.014386877315411883,2.8994178433850903,2.938618856668472,1.0135203049028678,72.53327799978979,0.0,0.0
300,50,230.66941184997557,10.0,2.8978793148270485,2.096712990350254,0.0014050594675847881,0.014386877315411883,2.902455333039792,2.93939591050148,1.0127273543338218,79.47388861567474,0.0,0.0
310,15,93.33911867141722,10.0,3.1649294345772416,3.145069316937987,0.0013494510444216645,0.024091104891347914,3.1649294345772416,3.2108844846487044,1.0145200867891075,29.49169028910279,0.0,1.9280506634731267e-189
320,15,98.16434497833252,10.0,3.4744240017356645,3.145069316937987,0.0024322729605334367,0.024669089913087028,3.4744240017356645,3.523026010394096,1.0139885082057205,28.25341550982093,0.0,3.7483394763372634e-174
330,15,102.10031232833862,10.0,3.938623642404514,3.145069316937987,0.0010437326674894117,0.04501590250020637,3.938623642404514,3.99830225110054,1.015152148088867,25.9228404636313,5.245208740234375e-07,4.929911783197092e-147
340,15,108.07883968353272,10.0,4.340787834082992,3.1712782335320497,0.0022889615969684455,0.05385638942150006,4.340787834082992,4.404805666208268,1.0147479753842428,24.89843867394749,4.2915344238281256e-07,6.7940648071128375e-136
350,15,111.57146539688111,10.0,4.757023771090565,4.193425980700508,0.00331427678095394,0.03488696956119508,4.757023771090565,4.83604467511177,1.0166114166806213,23.454048322172447,7.629394531249999e-07,7.063685363824073e-121
360,15,122.01881504058838,10.0,5.387057301613557,4.193425980700508,0.002544176019067098,0.03787255115727106,5.387057301613557,5.476377499103545,1.0165805174307752,22.65036516393481,9.059906005859376e-07,5.661098349987874e-113
370,15,129.15963764190673,10.0,5.853041001521133,5.241782644463029,0.004056886671815517,0.03978527629513273,5.853041001521133,5.951951086521149,1.0168989222823333,22.067099411799735,1.5735626220703124e-06,2.1563313024701987e-107
380,15,133.08874835968018,10.0,6.483485969579287,5.241782644463029,0.005637222792753616,0.07309801048822617,6.483485969579287,6.5902433633804325,1.0164660484039072,20.527344237981946,2.5749206542968747e-06,2.9899247358268886e-93
390,15,144.6171802520752,10.0,7.357528342381312,6.290138633875974,0.0039725289632367294,0.10567381546447852,7.357528342381312,7.487810093164444,1.0177072713444641,19.65567423220675,4.625320434570313e-06,9.841084030847417e-86
400,15,158.04748134613038,10.0,7.976602663908366,6.290138633875974,0.004221603898574731,0.07154943412149972,7.976602663908366,8.115610313415528,1.0174269241385343,19.813884181701294,5.292892456054687e-06,3.916645407263751e-87
410,15,169.17411575317385,10.0,8.822118751515283,7.338495297638495,0.007597551764788796,0.0910645713763234,8.822118751515283,8.975267827510834,1.0173596706538603,19.176132232873943,7.438659667968751e-06,8.695511453956725e-82
420,15,185.42048988342287,10.0,10.067447953150195,8.386851961401016,0.00565236628219185,0.13645612030793863,10.067447953150195,10.257121276855468,1.0188402586820349,18.417824531727838,9.250640869140626e-06,1.1814476613404297e-75
