elapsed_s,date_obs,pedestal,ccd_temp
600.001,2026-08-28T20:52:00.688,68.78336715698242,-10.0
602.0,2026-08-28T20:52:02.687,68.26684379577637,-10.0
604.0,2026-08-28T20:52:04.687,68.78016471862793,-10.0
606.001,2026-08-28T20:52:06.688,68.78374862670898,-10.0
608.0,2026-08-28T20:52:08.687,68.77632713317871,-10.0
610.0,2026-08-28T20:52:10.687,68.7716178894043,-10.0
612.0,2026-08-28T20:52:12.687,68.76912307739258,-10.0
614.0,2026-08-28T20:52:14.687,68.77347755432129,-10.0
616.0,2026-08-28T20:52:16.687,68.77677345275879,-10.0
618.001,2026-08-28T20:52:18.688,68.76952934265137,-10.0
620.001,2026-08-28T20:52:20.688,68.77681159973145,-10.0
622.0,2026-08-28T20:52:22.687,68.26161003112793,-10.0
624.0,2026-08-28T20:52:24.687,68.26480102539062,-10.0
626.0,2026-08-28T20:52:26.687,68.25985527038574,-10.0
628.001,2026-08-28T20:52:28.688,68.27196884155273,-10.0
630.001,2026-08-28T20:52:30.688,68.26352500915527,-10.0
632.0,2026-08-28T20:52:32.687,68.77957725524902,-10.0
634.001,2026-08-28T20:52:34.688,68.77129173278809,-10.0
636.0,2026-08-28T20:52:36.687,68.77411079406738,-10.0
638.001,2026-08-28T20:52:38.688,68.26750183105469,-10.0
640.0,2026-08-28T20:52:40.687,68.26136016845703,-10.0
642.0,2026-08-28T20:52:42.687,68.26143646240234,-10.0
644.0,2026-08-28T20:52:44.687,68.26343727111816,-10.0
646.0,2026-08-28T20:52:46.687,68.76859283447266,-10.0
648.0,2026-08-28T20:52:48.687,68.77915573120117,-10.0
650.0,2026-08-28T20:52:50.687,68.7745590209961,-10.0
652.0,2026-08-28T20:52:52.687,68.76918983459473,-10.0
654.001,2026-08-28T20:52:54.688,68.26505088806152,-10.0
656.0,2026-08-28T20:52:56.687,68.26301574707031,-10.0
658.0,2026-08-28T20:52:58.687,68.26057052612305,-10.0
660.0,2026-08-28T20:53:00.687,68.77005958557129,-10.0
662.0,2026-08-28T20:53:02.687,68.25411796569824,-10.0
664.0,2026-08-28T20:53:04.687,68.26219177246094,-10.0
666.0,2026-08-28T20:53:06.687,68.26961708068848,-10.0
668.0,2026-08-28T20:53:08.687,68.26382446289062,-10.0
670.0,2026-08-28T20:53:10.687,68.25908660888672,-10.0
672.0,2026-08-28T20:53:12.687,68.26456832885742,-10.0
674.0,2026-08-28T20:53:14.687,68.26339149475098,-10.0
676.0,2026-08-28T20:53:16.687,68.77011299133301,-10.0
678.0,2026-08-28T20:53:18.687,68.77471160888672,-10.0
680.0,2026-08-28T20:53:20.687,68.77748107910156,-10.0
682.0,2026-08-28T20:53:22.687,68.26815414428711,-10.0
684.001,2026-08-28T20:53:24.688,68.78294372558594,-10.0
686.0,2026-08-28T20:53:26.687,68.25962448120117,-10.0
688.001,2026-08-28T20:53:28.688,68.26072311401367,-10.0
690.0,2026-08-28T20:53:30.687,68.77592658996582,-10.0
692.0,2026-08-28T20:53:32.687,68.26143264770508,-10.0
694.0,2026-08-28T20:53:34.687,68.76807975769043,-10.0
696.0,2026-08-28T20:53:36.687,68.26375770568848,-10.0
698.0,2026-08-28T20:53:38.687,68.77659606933594,-10.0
700.001,2026-08-28T20:53:40.688,68.26333999633789,-10.0
702.0,2026-08-28T20:53:42.687,68.25996017456055,-10.0
704.0,2026-08-28T20:53:44.687,68.2625503540039,-10.0
706.001,2026-08-28T20:53:46.688,68.25879669189453,-10.0
708.001,2026-08-28T20:53:48.688,68.26367950439453,-10.0
710.0,2026-08-28T20:53:50.687,68.7717170715332,-10.0
712.0,2026-08-28T20:53:52.687,68.7755126953125,-10.0
714.001,2026-08-28T20:53:54.688,68.7721004486084,-10.0
716.0,2026-08-28T20:53:56.687,68.7720832824707,-10.0
718.0,2026-08-28T20:53:58.687,68.26288032531738,-10.0
720.001,2026-08-28T20:54:00.688,68.7750358581543,-10.0
722.001,2026-08-28T20:54:02.688,68.25979423522949,-10.0
724.0,2026-08-28T20:54:04.687,68.76929092407227,-10.0
726.0,2026-08-28T20:54:06.687,68.26367568969727,-10.0
728.0,2026-08-28T20:54:08.687,68.26146697998047,-10.0
730.0,2026-08-28T20:54:10.687,68.78091621398926,-10.0
732.0,2026-08-28T20:54:12.687,68.76712799072266,-10.0
